Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-12 since:2024-06-11&src=typed_query",Washington Examiner,https://x.com/dcexaminer,dcexaminer,True,2024-06-11 01:06:27+00:00,False,President Biden and VP Kamala Harris hosted a Juneteenth concert at the White House Monday night. Here's what it looked like from the front row. https://trib.al/xBUSst3 #JoeBiden #KamalaHarris #Juneteenth #whitehouse #Washington #DC #Democrats #Biden #BidenLost #DougEFresh #Election2024 #politics #news #black #blackculture #holiday #viralshorts #explorepage,1800333743980150886,https://x.com/dcexaminer/status/1800333743980150886,53,10,18,7130,2,https://pbs.twimg.com/ext_tw_video_thumb/1800333541613486080/pu/img/56D-pWBEY2M4msJ1.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-13 since:2024-06-12&src=typed_query",BMB Empower Network,https://x.com/BmbEmpower,BmbEmpower,False,2024-06-12 02:11:28+00:00,False,"Before becoming #VicePresident of the #UnitedStates, did #KamalaHarris advocate for HBCUs? @HipHopPrez, former #HBCU #President of #DillardUniversity, explains how both then Senator Kamala Harris and #Senator #DongJones fought against the #Trumpadministration to secure additional funding for HBCUs. However, contrary to what is being claimed, it is a complete #falsehood that Trump provided more funding for HBCUs than any other President and in all turth he wanted to cut over $100 billion from HBCUs. You will only hear the truth about this matter on the @rolandsmartin show, and we are grateful for that! Watch the full segment and let’s make it go #viral by #repost: https://youtu.be/_VRZUsA_e6Q?si=kwfn75ZnkWo9Hg6b",1800712493221720155,https://x.com/BmbEmpower/status/1800712493221720155,8,97,175,19388,24,https://pbs.twimg.com/amplify_video_thumb/1800712018938175488/img/EGjzaB0jVtidi5p7.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-16 since:2024-06-15&src=typed_query",DrDinD🟧🇺🇲🇺🇦 He/Him,https://x.com/DrDinD,DrDinD,True,2024-06-15 18:36:05+00:00,False,".@VP #KamalaHarris announces new aid for restoring infrastructure to Ukraine. Leadership. ""“This war remains an utter failure for (Russian president Vladimir) Putin,” Harris said during a bilateral meeting with Zelenskiy."" https://www.theguardian.com/world/article/2024/jun/15/us-vice-president-kamala-harris-announces-15bn-in-ukraine-aid",1802047442512429072,https://x.com/DrDinD/status/1802047442512429072,6,34,64,1344,1,https://pbs.twimg.com/media/GQIomRGa4AAnJJu.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-16 since:2024-06-15&src=typed_query",Conservative Brief,https://x.com/ConservBrief,ConservBrief,True,2024-06-15 18:37:38+00:00,False,Vice President Harris gets blindsided by the Biden campaign and she has to agree to this. Is it all over? #KamalaHarris #VicePresident #Debate https://conservativebrief.com/kamala-whether-83801/?utm_source=CB&utm_medium=X,1802047832968380625,https://x.com/ConservBrief/status/1802047832968380625,8,5,19,7579,1,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-17 since:2024-06-16&src=typed_query",The Mother of All Talk Shows with George Galloway,https://x.com/MoatsTV,MoatsTV,True,2024-06-16 20:29:40+00:00,False,"Drunk on power, Kamala Harris. Meloni and the reversing Italian tank. The Ukraine war solution - open western border and all the fighting-age men will leave Follow @MoatsTV #KamalaHarris #Ukraine #Meloni #Gaza #Biden https://x.com/i/broadcasts/1ynJOyyrPbvKR",1802438415742542093,https://x.com/MoatsTV/status/1802438415742542093,6,25,54,1785,1,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-17 since:2024-06-16&src=typed_query",George Galloway,https://x.com/georgegalloway,georgegalloway,True,2024-06-16 20:29:40+00:00,False,"Drunk on power, Kamala Harris. Meloni and the reversing Italian tank. The Ukraine war solution - open western border and all the fighting-age men will leave Follow @MoatsTV #KamalaHarris #Ukraine #Meloni #Gaza #Biden https://x.com/i/broadcasts/1BRJjPPljddKw",1802438415193084372,https://x.com/georgegalloway/status/1802438415193084372,29,142,399,21686,19,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-17 since:2024-06-16&src=typed_query",George Galloway,https://x.com/georgegalloway,georgegalloway,True,2024-06-16 20:29:40+00:00,False,"Drunk on power, Kamala Harris. Meloni and the reversing Italian tank. The Ukraine war solution - open western border and all the fighting-age men will leave Follow @MoatsTV #KamalaHarris #Ukraine #Meloni #Gaza #Biden https://x.com/i/broadcasts/1BRJjPPljddKw",1802438415193084372,https://x.com/georgegalloway/status/1802438415193084372,29,147,396,21686,19,,False,,,,,en,Top
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-18 since:2024-06-17&src=typed_query",George Galloway,https://x.com/georgegalloway,georgegalloway,True,2024-06-17 06:59:48+00:00,False,Stumblebum Kamala ‘Hiccup’ Harris + G7 dwarves on parade + France’s Mélenchon and frightened horses + the UK election race + more hits you can’t miss Follow @MoatsTV #KamalaHarris #Biden #France #Eid #UK https://x.com/i/broadcasts/1MnxnMMyAeVJO,1802596992981533163,https://x.com/georgegalloway/status/1802596992981533163,11,67,144,9594,4,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-18 since:2024-06-17&src=typed_query",The Mother of All Talk Shows with George Galloway,https://x.com/MoatsTV,MoatsTV,True,2024-06-17 06:59:48+00:00,False,Stumblebum Kamala ‘Hiccup’ Harris + G7 dwarves on parade + France’s Mélenchon and frightened horses + the UK election race + more hits you can’t miss Follow @MoatsTV #KamalaHarris #Biden #France #Eid #UK https://x.com/i/broadcasts/1OwxWYYvZERGQ,1802596992050434070,https://x.com/MoatsTV/status/1802596992050434070,1,17,63,7424,0,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-18 since:2024-06-17&src=typed_query",2RawTooReal,https://x.com/2RawTooReal,2RawTooReal,False,2024-06-17 19:20:48+00:00,False,Yet Kamala Harris still ended up on the presidential ticket as Joe biden’s running mate. It’s called The Avengers Endgame &amp; guess what? We assembled #Khive,1802783473003901259,https://x.com/2RawTooReal/status/1802783473003901259,13,51,199,7793,1,https://pbs.twimg.com/tweet_video_thumb/GQTGAwPWkAA7J4D.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-18 since:2024-06-17&src=typed_query",TheRevolutionReport,https://x.com/TheRevolutionR1,TheRevolutionR1,False,2024-06-17 20:47:57+00:00,False,"🇺🇸🤡🇺🇦KAMALA HARRIS LEFT ZELENSKY'S ""PEACE SUMMIT"" EARLY US Vice President #KamalaHarris made a brief appearance at #Ukrainian #President #VladimirZelensky's #peace conference in #Switzerland before departing early, missing the summit's critical sessions. During her short stay, Harris pledged an additional $1.5 billion in aid to #Ukraine and delivered a speech promising to pursue a just and lasting peace. The conference's final declaration, which Harris did not witness, attributed blame for the Ukraine conflict to #Russia and issued demands that led to several countries, including Brazil, India, Mexico, Saudi Arabia, and the United Arab Emirates, abstaining from signing. President #JoeBiden also chose to skip the event, attending a fundraising event in Los Angeles instead of joining discussions on Ukraine's future.",1802805403220398398,https://x.com/TheRevolutionR1/status/1802805403220398398,1,3,7,401,1,https://pbs.twimg.com/media/GQTZ85ubQAArCL0.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-19 since:2024-06-18&src=typed_query",theGrio.com,https://x.com/theGrio,theGrio,False,2024-06-18 14:26:04+00:00,False,#Migos rapper #Quavo is hosting the inaugural Rocket Foundation Summit against gun violence at the Carter Center in Atlanta on Tuesday with Vice President #KamalaHarris — the same day as Takeoff’s 30th birthday. Read More👇🏿 https://thegrio.com/2024/06/18/quavo-hosts-summit-against-gun-violence-featuring-vp-kamala-harris-on-late-rapper-takeoffs-birthday/,1803071689518973259,https://x.com/theGrio/status/1803071689518973259,1,6,16,1587,0,https://pbs.twimg.com/media/GQXMILQXIAAaJHI.jpg,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-24 since:2024-06-23&src=typed_query",Conservative Brief,https://x.com/ConservBrief,ConservBrief,True,2024-06-23 16:34:58+00:00,False,Kamala Harris just got the news she's been dreading. #KamalaHarris #Election2024 https://conservativebrief.com/kamala-harris-agrees-83960/?utm_source=CB&utm_medium=X,1804916066373587302,https://x.com/ConservBrief/status/1804916066373587302,4,10,19,7502,2,,False,,,,,en,Latest
"""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5","https://x.com/search?q=""\""Kamala Harris\"""" Harris OR ""Vice OR President OR Harris"" OR KHive -giveaway -free -porn -crypto ##KamalaHarris OR ##Harris2024 OR ##KHive min_faves:5 lang:en until:2024-06-26 since:2024-06-25&src=typed_query",Gail Parkinson Hardie🟧💙,https://x.com/gailphardie,gailphardie,False,2024-06-25 13:21:15+00:00,False,The GOP has targeted Kamala Harris throughout her career. She is smarter and more courageous than all of them. She is a warrior for the people - a threat to the GOP. #MorningJoe #KamalaHarris,1805592091961049160,https://x.com/gailphardie/status/1805592091961049160,5,21,50,8829,0,,False,,,,,en,Latest
