Query_Str,Post_URL,Author_Name,Author_Web_Page_URL,Author_Handle,Verified_Status,UTC_Time,Ads,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Replying_to,Reply_to_Whom,Reply_to_Whom_URL,Reply_to_Whom_Username,Reply_to_Whom_Handle,Language,Type
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Rafael Romo,https://x.com/RafaelRomoCNN,RafaelRomoCNN,False,2024-11-04 20:09:46+00:00,False,"Donald Trump threatens Mexican President @Claudiashein with tariffs of as much as 100% if Mexico doesn't stop ""this onslaught of criminals and drugs coming into our country."" #DonaldTrump #ClaudiaSheinbaum #Mexico #Tariffs",1853530098215109098,https://x.com/RafaelRomoCNN/status/1853530098215109098,3,9,8,5753,0,https://pbs.twimg.com/ext_tw_video_thumb/1853530031365951488/pu/img/WjHslmgmTo20lrq_.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",MJ,https://x.com/Real_Politik101,Real_Politik101,True,2024-11-04 22:48:22+00:00,False,I have just proudly voted for PRESIDENT DONALD J TRUMP. A honor I have such an opportunity. WE WILL WIN. #TRUMP2024,1853570008817004701,https://x.com/Real_Politik101/status/1853570008817004701,1,3,19,2808,2,https://pbs.twimg.com/amplify_video_thumb/1853569943599828992/img/bD7a9hMcRSsyqgd9.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Dal Khalsa UK 🇬🇧🏴󠁧󠁢󠁥󠁮󠁧󠁿 🦅🇺🇸,https://x.com/DalKhalsaUK,DalKhalsaUK,True,2024-11-04 23:48:03+00:00,False,"We support President Donald J. Trump @realdonaldtrump &amp; appeal to all who can vote to vote in tremendous numbers tomorrow. This is the most IMPORTANT election in world history , the fate of Western Civilisation &amp; the very future of humanity depends on it. #MAGA #TRUMP2024",1853585027897892981,https://x.com/DalKhalsaUK/status/1853585027897892981,1,3,11,406,1,https://pbs.twimg.com/amplify_video_thumb/1853584939511369728/img/4f-lxhRtwnXGkPY-.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Nicholas Lissack,https://x.com/NicholasLissack,NicholasLissack,True,2024-11-04 18:06:01+00:00,False,"While my support for Trump has been no secret, I’ve kept my final prediction under wraps—until now. Here’s what I believe the outcome will be. And if you haven’t voted yet, get out there and do it! Donald Trump wins! #Trump2024 #MAGA",1853498954089918881,https://x.com/NicholasLissack/status/1853498954089918881,21,14,157,11861,10,https://pbs.twimg.com/media/GbjzR1qWMAA3ITK.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Sapiential Sage,https://x.com/Sapiential_Sage,Sapiential_Sage,False,2024-11-04 19:57:30+00:00,False,"Doing my part to support @realDonaldTrump in the final stretch! I'm not a pro, but I hope you’ll appreciate this video. Let’s prevent WWIII—vote for Donald Trump tomorrow!🇺🇸 #Trump2024 #MAGA2024 #Kamala_is_a_war_Criminal",1853527010062090283,https://x.com/Sapiential_Sage/status/1853527010062090283,5,7,12,2802,0,https://pbs.twimg.com/ext_tw_video_thumb/1853526193288384512/pu/img/D4HrYV0LCs2DKsmd.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Toxic ☣️,https://x.com/ToxicLakers,ToxicLakers,True,2024-11-04 23:25:31+00:00,False,ToxicLakers is officially endorsing Donald Trump #MAGA,1853579357790646386,https://x.com/ToxicLakers/status/1853579357790646386,20,3,111,5601,1,https://pbs.twimg.com/media/Gbk8mc8WAAAoeb0.jpg;https://pbs.twimg.com/media/Gbk8mc9XwAAGZQy.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Firing Line with Margaret Hoover,https://x.com/FiringLineShow,FiringLineShow,True,2024-11-04 19:30:00+00:00,False,"Former National Security Advisor @LTGHRMcMaster discusses the ""fragility"" of #DonaldTrump's ego. ""One of the ways that people would try to manipulate Donald Trump was they would say, ‘This will make you look weak,’ or ‘This will alienate your base.’"" http://bit.ly/3YO0HBa",1853520087690490111,https://x.com/FiringLineShow/status/1853520087690490111,0,1,3,1661,1,https://pbs.twimg.com/media/GbVyncBWwAAZBSA.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",The Reform Daily,https://x.com/ReformDaily_,ReformDaily_,True,2024-11-04 23:42:16+00:00,False,"⚡️”Big energy!”⚡️ Nigel Farage is uniting with the U.S. at the Trump rally, championing a strong partnership and support for Donald Trump. #Trump2024 #Farage #ReformUK #BigEnergy #USUKAlliance #Election2024 #TransatlanticRelations",1853583572424167804,https://x.com/ReformDaily_/status/1853583572424167804,8,83,281,4998,2,https://pbs.twimg.com/amplify_video_thumb/1853581426551132160/img/gkQo_4iIUlLj0HQ1.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",Donald Trump Rune,https://x.com/Runedonaldtrump,Runedonaldtrump,False,2024-11-04 17:02:18+00:00,False,He’s coming for the establishment. It’s time to finish what he started. #MAGA THE•DONALD•TRUMP,1853482919710343475,https://x.com/Runedonaldtrump/status/1853482919710343475,2,10,32,624,0,https://pbs.twimg.com/media/Gbjk5KSW8AAJXgO.jpg,False,,,,,en,Top
"""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0","https://x.com/search?q=""\""Donald Trump\"""" Trump OR DonaldTrump OR DJT OR MAGA ##DonaldTrump OR ##Trump2024 OR ##MAGA min_faves:0 lang:en until:2024-11-05 since:2024-11-04&src=typed_query",The Reform Daily,https://x.com/ReformDaily_,ReformDaily_,True,2024-11-04 20:25:06+00:00,False,🇺🇸 “I am absolutely certain that Donald Trump is going to win the US election.” 💪🏼 Nigel Farage shares an update on his plans in America with just one day to go until the US election. #ReformUK #NigelFarage #Trump2024 #USElection2024 #AmericaDecides,1853533954994782449,https://x.com/ReformDaily_/status/1853533954994782449,4,56,248,5583,2,https://pbs.twimg.com/amplify_video_thumb/1853528059401355264/img/QnLvkPfENK40pipw.jpg,False,,,,,en,Top
